relation_name,score_rf,score_lr,score_combined
mmaWin,2.2767134227759537e-08,4.552583759963763e-07,2.390127551120679e-07
fangraphs,2.225565548147415e-08,4.545525841285599e-07,2.3840411980501702e-07
proyears,2.004447518812272e-08,4.537600579189088e-07,2.3690226655351575e-07
d,2.3611557570091625e-08,4.427379563622954e-07,2.3317475696619353e-07
iwd,2.3567776023210305e-08,4.374509413162755e-07,2.305093586697429e-07
wimbledondoublesresult,2.480413064308188e-08,4.3203055143816884e-07,2.2841734104062536e-07
3a,2.1508944462191e-08,4.3531415102071644e-07,2.2841154774145372e-07
headline,2.0193788473034212e-08,4.2943912279691496e-07,2.248164556349746e-07
footer,2.2314032888777696e-08,4.2267629596225863e-07,2.2249516442551817e-07
autor,2.1200573124073193e-08,4.202508517701062e-07,2.207257124470897e-07
region,2.286185763105517e-08,4.157140071586097e-07,2.1928793239483243e-07
postNominals,2.2769521097594624e-08,4.15141481791231e-07,2.189555014444128e-07
coachteams,1.792721583311507e-08,4.181844337100691e-07,2.180558247715921e-07
icposition,2.2257854380323414e-08,4.1334588377944144e-07,2.1780186907988241e-07
fromAlbum,2.31546755851353e-08,4.0937300071587037e-07,2.1626383815050283e-07
code,2.024796470646013e-08,4.099425495092211e-07,2.150952571078406e-07
filename,2.0820235035616408e-08,4.090155207726661e-07,2.1491787790414125e-07
arcaCarTeam,2.0279856030287182e-08,4.0536743808192646e-07,2.1282364705610682e-07
multiline,2.0244803343001714e-08,4.0410814919980315e-07,2.1217647627140245e-07
county,1.9135905281334677e-08,3.9942302812146213e-07,2.092794667013984e-07
teams,2.1126138243468104e-08,3.949654613168683e-07,2.080457997801682e-07
boxrec,2.069956939210982e-08,3.950280665315015e-07,2.0786381796180566e-07
wimbledonjuniorresult,2.241721356569768e-08,3.917610209578512e-07,2.0708911726177446e-07
song,2.0839126418231156e-08,3.927603207110799e-07,2.0679972356465554e-07
suppressfields,1.9141781429461513e-08,3.909924911530704e-07,2.0506713629126597e-07
month,1.9712380127693416e-08,3.9029984224552013e-07,2.0500611118660677e-07
amKowin,2.0297130546866445e-08,3.8924291354280406e-07,2.0477002204483525e-07
debutTeam,2.113878747286417e-08,3.7932966411939395e-07,2.0023422579612906e-07
religion,2.0318655799814034e-08,3.756750283719727e-07,1.9799684208589338e-07
soundRecording,1.9744229495339502e-08,3.757641517090796e-07,1.9775419060220955e-07
debutteam,1.9946825188760098e-08,3.75433739409239e-07,1.9769028229899957e-07
bio,1.973607145302694e-08,3.7047859080088134e-07,1.9510733112695413e-07
teamb,2.149299636635967e-08,3.679228472819816e-07,1.9470792182417063e-07
serviceyearsLabel,1.6801565446298885e-08,3.7232590297813306e-07,1.9456373421221596e-07
currentMembers,1.4053751637711434e-08,3.7104076529327175e-07,1.9254725846549158e-07
currentSeries,2.028717622044571e-08,3.6181652221229883e-07,1.9105184921637228e-07
clposition,1.790178162898972e-08,3.534051849392955e-07,1.856534832841426e-07
debutagainst,1.80411318621222e-08,3.496463775056759e-07,1.8384375468389906e-07
authorLink,1.7379234879796746e-08,3.4759351875069423e-07,1.824863768152455e-07
help,1.7218357195112352e-08,3.445259438538094e-07,1.8087215052446088e-07
usopenmixedresult,1.8013385701791917e-08,3.4276827823133485e-07,1.803908319665634e-07
province,1.954483813098098e-08,3.40767624006779e-07,1.8015623106887998e-07
usopendoublesresult,2.255967126515871e-08,3.3623537873363346e-07,1.793975249993961e-07
deathYear,1.572653975326344e-08,3.3952440539843467e-07,1.7762547257584905e-07
3blankname,1.561702528036619e-08,3.389822115518336e-07,1.772996184160999e-07
